,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,90.55462460517883,0.7769520370005601,1.341174030303955,0.14240430276349386,40,43,"{'n_estimators': 40, 'max_depth': 43}",0.8469670699178674,0.8485529428993392,0.8480327566073474,0.8477893694393328,0.8489234297551302,0.8480531137238033,0.0006718252462202633,15
1,179.5217719078064,1.075804480882196,2.974792814254761,0.08535930975298957,79,93,"{'n_estimators': 79, 'max_depth': 93}",0.8516647474125759,0.852187103977899,0.8518905796564893,0.8510440912501084,0.8529047236833152,0.8519382491960774,0.0006119796859111461,6
2,144.45302457809447,1.568868129257343,2.328802061080933,0.04789726061903268,63,23,"{'n_estimators': 63, 'max_depth': 23}",0.8500401979892831,0.8515600199541146,0.8509780093646709,0.8501793664906286,0.8520819907437638,0.8509679169084923,0.0007841329656780205,10
3,55.33474712371826,0.4980870534609124,0.22317609786987305,0.010598941628586258,36,9,"{'n_estimators': 36, 'max_depth': 9}",0.7428407207911515,0.7441636324373017,0.7434402445057456,0.7439561491786699,0.7475387437891331,0.7443878981404003,0.0016405081977840135,20
4,7.103392839431763,0.2455234439845777,0.08475704193115234,0.014385855804708974,3,19,"{'n_estimators': 3, 'max_depth': 19}",0.7661052879742629,0.7690543873124267,0.768900546255018,0.7673026300564001,0.7700418490795632,0.768280940135534,0.0013981048262334172,19
5,226.53647480010986,1.8916468239132753,3.7459166049957275,0.11537914506882041,99,73,"{'n_estimators': 99, 'max_depth': 73}",0.8518368197968822,0.8526901227104055,0.8531507322222363,0.8517980746795946,0.8528886536679139,0.8524728806154064,0.0005548838753795886,1
6,93.94653997421264,0.48356489532929803,1.48729248046875,0.1713694018429704,41,89,"{'n_estimators': 41, 'max_depth': 89}",0.8486885130960554,0.8493479827396053,0.8488911606992561,0.8482259060293715,0.850168986881786,0.8490645098892149,0.0006595310831033124,14
7,152.18152203559876,1.367894671188791,2.1981558322906496,0.11883520457420704,66,28,"{'n_estimators': 66, 'max_depth': 28}",0.850593060040857,0.8512056208531658,0.8517045702444567,0.8506386609287648,0.8519281837611631,0.8512140191656814,0.0005417322765851481,8
8,195.2528419494629,2.3764503870422273,2.8391279220581054,0.23183824878043854,84,59,"{'n_estimators': 84, 'max_depth': 59}",0.8514682533857881,0.8522029270649328,0.8528356004985376,0.8512147354421961,0.8527625733539799,0.852096817949087,0.0006593105517402926,4
9,208.5044665336609,2.0903495481158636,3.416668510437012,0.20013063891931288,89,62,"{'n_estimators': 89, 'max_depth': 62}",0.8517157622835684,0.8522575781040677,0.8527267513987274,0.8515816689115477,0.8530586831261989,0.8522680887648221,0.0005677601759254737,2
10,163.49969940185548,0.8883888986586076,2.502628517150879,0.04584700590110072,70,66,"{'n_estimators': 70, 'max_depth': 66}",0.85052264098732,0.8520903177975975,0.8514197235454181,0.8501184497354383,0.852455995496765,0.8513214255125078,0.00089143865031951,7
11,213.33685173988343,1.2492048210457565,3.0577956676483153,0.06718563534619286,94,17,"{'n_estimators': 94, 'max_depth': 17}",0.8520865373972533,0.8522544892454533,0.8520799010302625,0.8513780248308377,0.8529828520926108,0.8521563609192835,0.0005117118981262399,3
12,54.41659450531006,0.6174643217448329,0.8039818286895752,0.068774747554486,24,68,"{'n_estimators': 24, 'max_depth': 68}",0.843954344983906,0.8445798133203112,0.8449185949845609,0.8425393639155008,0.8452478894550534,0.8442480013318665,0.0009555362026529636,18
13,149.47641477584838,1.3260818016246663,2.4365686416625976,0.1062716706570544,65,60,"{'n_estimators': 65, 'max_depth': 60}",0.8506193976460623,0.8513232018670186,0.8514746536659802,0.8505250661114044,0.8521220042070522,0.8512128646995036,0.0005886446192740236,9
14,64.23462800979614,0.5076475272696381,0.9651809215545655,0.05928861450052756,28,21,"{'n_estimators': 28, 'max_depth': 21}",0.845211653325351,0.8450980805983469,0.8468344842653822,0.8449130206231742,0.8460092620185684,0.8456133001661646,0.0007162735816529418,16
15,129.4115047454834,0.6947339787537317,2.0875102043151856,0.060680869240511436,56,36,"{'n_estimators': 56, 'max_depth': 36}",0.8499689871715005,0.850586061399257,0.8510015805348853,0.8498992157125463,0.851123470698062,0.8505158631032502,0.0005078116782072784,12
16,126.40338845252991,1.2972778926715192,1.9875718116760255,0.06101697414240621,55,35,"{'n_estimators': 55, 'max_depth': 35}",0.8503636124237539,0.8508833964051081,0.8508765558629254,0.8497608678095426,0.8515025103869918,0.8506773885776644,0.0005833350025286277,11
17,59.23773465156555,0.26577089411321003,0.8672083377838135,0.059856253409098226,26,43,"{'n_estimators': 26, 'max_depth': 43}",0.8434260511110092,0.8452962608074011,0.8462833746832314,0.8447212553041208,0.8463594202952547,0.8452172724402034,0.0010864457397392678,17
18,187.77084922790527,4.211127332873775,3.095823383331299,0.09094723004638364,82,40,"{'n_estimators': 82, 'max_depth': 40}",0.8517402831322403,0.8520169102190918,0.8521845398891469,0.8512032277416541,0.8531639938440184,0.8520617909652302,0.0006438060051377122,5
19,113.07207741737366,9.028746487819454,1.6982430934906005,0.3308897109080643,52,79,"{'n_estimators': 52, 'max_depth': 79}",0.8495142528369855,0.8502947381572823,0.8508632277997713,0.8496291064367967,0.8509648241745023,0.8502532298810677,0.0006026282405654289,13
